
В соответствии с подпунктом 1) пункта 1 статьи 6 Закона Республики Казахстан "О местном государственном управлении и самоуправлении в Республике Казахстан" от 23 января 2001 года, подпунктом 4) пункта 2 статьи 106, пунктом 5 статьи 109 Бюджетного Кодекса Республики Казахстан от 4 декабря 2008 года районный маслихат РЕШИЛ : 1. Внести в решение Железинского районного маслихата (XX - сессия, IY – созыв) от 28 декабря 2009 года N 175-4/20 "О районном бюджете  на 2010 - 2012 годы" (зарегистрированное в Реестре государственной регистрации нормативных правовых актов за N 12-6-82, опубликованное в районной газете "Родные просторы" 9 января 2010 года N 2, следующие изменения: пункт 1 указанного решения изложить в следующей редакции: "1. Утвердить районный бюджет на 2010 - 2012 годы согласно приложениям 1 , 2 , 3 соответственно, в том числе на 2010 год в следующих объемах: 1) доходы - 1849690,0 тыс. тенге, в том числе: налоговые поступления - 270763,0 тыс. тенге; неналоговые поступления - 560,0 тыс. тенге; поступления от продажи основного капитала - 482,0 тыс. тенге; поступления трансфертов - 1577885,0 тыс. тенге; 2) затраты - 1857684,0 тыс. тенге; 3) чистое бюджетное кредитование - 12568.0 тыс. тенге, в том числе: бюджетные кредиты - 12716,0 тыс. тенге; погашение бюджетных кредитов - 148,0 тыс. тенге; 4) сальдо по операциям с финансовыми активами равно нулю; 5) дефицит бюджета - -20562,0 тыс. тенге; 6) финансирование дефицита бюджета - 20562,0 тыс. тенге". пункт 6 указанного решения изложить в следующей редакции: "6. Утвердить резерв местного исполнительного органа района на 2010 год в сумме 2100,0 тыс. тенге". Приложения 1 , 5 изложить в новой редакции согласно приложениям 1 , 2 к настоящему решению. 2. Отменить ранее принятое решение районного маслихата N 220-4/26 от 31 августа 2010 года "О внесении изменений в решение районного маслихата очередной XX сессии IV созыва N 175-4/20 от 28 декабря 2009 года "О районном бюджете на 2010 - 2012 годы". 3. Контроль за исполнением данного решения возложить на постоянную комиссию социально-экономического развития и бюджета районного маслихата. 4. Настоящее решение вводится в действие с 1 января 2010 года.

Председатель сессии районного маслихата                        А. Друзик

Секретарь районного маслихата              В. Крутиков

Приложение 1 к решению Железинского районного маслихата внеочередной XXVII сессии IV созыва от 20 сентября 2010 года N 224-4/27

Районный бюджет на 2010 год


Категория	|	Всего (тыс. тенге)
	|	Класс
	|		|	Подкласс
1	|	2	|	3	|	4	|	5
	|		|		|	I. ДОХОДЫ	|	1 849 690
1	|		|		|	Налоговые поступления	|	270 763
	|	01	|		|	Подоходный налог	|	91 985
	|		|	2	|	Индивидуальный подоходный налог	|	91985
	|	03	|		|	Социальный налог	|	85 439
	|		|	1	|	Социальный налог	|	85439
	|	04	|		|	Hалоги на собственность	|	84 636
	|		|	1	|	Hалоги на имущество	|	66500
	|		|	3	|	Земельный налог	|	1614
	|		|	4	|	Hалог на транспортные средства	|	7872
	|		|	5	|	Единый земельный налог	|	8650
	|	05	|		|	Внутренние налоги на товары, работы и услуги	|	7 447
	|		|	2	|	Акцизы	|	770
	|		|	3	|	Поступления за использование природных и других ресурсов	|	5650
	|		|	4	|	Сборы за ведение предпринимательской и профессиональной деятельности	|	1027
	|	08	|		|	Обязательные платежи, взимаемые за совершение юридически значимых действий и (или) выдачу документов уполномоченными на то государственными органами или должностными лицами	|	1 256
	|		|	1	|	Государственная пошлина	|	1256
2	|		|		|	Неналоговые поступления	|	560
	|	01	|		|	Доходы от государственной собственности	|	118
	|		|	5	|	Доходы от аренды имущества, находящегося в государственной собственности	|	118
	|	06	|		|	Прочие неналоговые поступления	|	442
	|		|	1	|	Прочие неналоговые поступления	|	442
3	|		|		|	Поступления от продажи основного капитала	|	482
	|	03	|		|	Продажа земли и нематериальных активов	|	482
	|		|	2	|	Продажа нематериальных активов	|	482
4	|		|		|	Поступления трансфертов	|	1 577 885
	|	02	|		|	Трансферты из вышестоящих органов государственного управления	|	1 577 885
	|		|	2	|	Трансферты из областного бюджета	|	1577885



Функциональная группа	|	Всего тыс. тенге
	|	Функциональная подгруппа
	|		|	Администратор бюджетных программ
	|		|		|	Программа
	|		|		|		|	Наименование
1	|	2	|	3	|	4	|	5	|	6
	|		|		|		|	II. ЗАТРАТЫ	|	1857684
01	|		|		|		|	Государственные услуги общего характера	|	172202
	|	1	|		|		|	Представительные, исполнительные и другие органы, выполняющие общие функции государственного управления	|	149028
	|		|	112	|		|	Аппарат маслихата района (города областного значения)	|	10749
	|		|		|	001	|	Услуги по обеспечению деятельности маслихата района (города областного значения)	|	10749
	|		|	122	|		|	Аппарат акима района (города областного значения)	|	35483
	|		|		|	001	|	Услуги по обеспечению деятельности акима района (города областного значения)	|	35483
	|		|	123	|		|	Аппарат акима района в городе, города районного значения, поселка, аула (села), аульного (сельского) округа	|	102796
	|		|		|	001	|	Услуги по обеспечению деятельности акима района в городе, города районного значения, поселка, аула (села), аульного (сельского) округа	|	101196
	|		|		|	023	|	Материально-техническое оснащение государственных органов	|	1600
	|	2	|		|		|	Финансовая деятельность	|	9503
	|		|	452	|		|	Отдел финансов района (города областного значения)	|	9503
	|		|		|	001	|	Услуги по реализации государственной политики в области исполнения бюджета района (города областного значения) и управления коммунальной собственностью района (города областного значения)	|	7895
	|		|		|	003	|	Проведение оценки имущества в целях налогообложения	|	149
	|		|		|	011	|	Учет, хранение, оценка и реализация имущества, поступившего в коммунальную собственность	|	1112
	|		|		|	019	|	Материально-техническое оснащение государственных органов	|	347
	|	5	|		|		|	Планирование и статистическая деятельность	|	13671
	|		|	453	|		|	Отдел экономики и бюджетного планирования района (города областного значения)	|	13671
	|		|		|	001	|	Услуги по реализации государственной политики в области формирования и развития экономической политики, системы государственного планирования и управления района (города областного значения)	|	13671
02	|		|		|		|	Оборона	|	7294
	|	1	|		|		|	Военные нужды	|	7294
	|		|	122	|		|	Аппарат акима района (города областного значения)	|	7294
	|		|		|	005	|	Мероприятия в рамках исполнения всеобщей воинской обязанности	|	7294
04	|		|		|		|	Образование	|	1020787
	|	1	|		|		|	Дошкольное воспитание и обучение	|	37525
	|		|	123	|		|	Аппарат акима района в городе, города районного значения, поселка, аула (села), аульного (сельского) округа	|	37525
	|		|		|	004	|	Поддержка организаций дошкольного воспитания и обучения	|	37525
	|	2	|		|		|	Начальное, основное среднее и общее среднее образование	|	948944
	|		|	123	|		|	Аппарат акима района в городе, города районного значения, поселка, аула (села), аульного (сельского) округа	|	6397
	|		|		|	005	|	Организация бесплатного подвоза учащихся до школы и обратно в аульной (сельской) местности	|	6397
	|		|	464	|		|	Отдел образования района (города областного значения)	|	942547
	|		|		|	003	|	Общеобразовательное обучение	|	936980
	|		|		|	006	|	Дополнительное образование для детей	|	5567
	|	9	|		|		|	Прочие услуги в области образования	|	34318
	|		|	464	|		|	Отдел образования района (города областного значения)	|	34318
	|		|		|	001	|	Услуги по реализации государственной политики на местном уровне в области образования	|	13036
	|		|		|	005	|	Приобретение и доставка учебников, учебно-методических комплексов для государственных учреждений образования района (города областного значения)	|	9617
	|		|		|	007	|	Проведение школьных олимпиад, внешкольных мероприятий и конкурсов районного (городского) масштаба	|	1169
	|		|		|	011	|	Капитальный, текущий ремонт объектов образования в рамках реализации стратегии региональной занятости и переподготовки кадров	|	10496
05	|		|		|		|	Здравоохранение	|	263
	|	9	|		|		|	Прочие услуги в области здравоохранения	|	263
	|		|	123	|		|	Аппарат акима района в городе, города районного значения, поселка, аула (села), аульного (сельского) округа	|	263
	|		|		|	002	|	Организация в экстренных случаях доставки тяжелобольных людей до ближайшей организации здравоохранения, оказывающей врачебную помощь	|	263
06	|		|		|		|	Социальная помощь и социальное обеспечение	|	100781
	|	2	|		|		|	Социальная помощь	|	83113
	|		|	123	|		|	Аппарат акима района в городе, города районного значения, поселка, аула (села), аульного (сельского) округа	|	9827
	|		|		|	003	|	Оказание социальной помощи нуждающимся гражданам на дому	|	9827
	|		|	451	|		|	Отдел занятости и социальных программ района (города областного значения)	|	73286
	|		|		|	002	|	Программа занятости	|	17545
	|		|		|	005	|	Государственная адресная социальная помощь	|	5970
	|		|		|	006	|	Жилищная помощь	|	328
	|		|		|	007	|	Социальная помощь отдельным категориям нуждающихся граждан по решениям местных представительных органов	|	33719
	|		|		|	010	|	Материальное обеспечение детей-инвалидов, воспитывающихся и обучающихся на дому	|	891
	|		|		|	016	|	Государственные пособия на детей до 18 лет	|	3700
	|		|		|	017	|	Обеспечение нуждающихся инвалидов обязательными гигиеническими средствами и предоставление услуг специалистами жестового языка, индивидуальными помощниками в соответствии с индивидуальной программой реабилитации инвалида	|	3685
	|		|		|	019	|	Обеспечение проезда участникам и инвалидам Великой Отечественной войны по странам Содружества Независимых Государств, по территории Республики Казахстан, а также оплаты им и сопровождающим их лицам расходов на питание, проживание, проезд для участия в праздничных мероприятиях в городах Москва, Астана к 65-летию Победы в Великой Отечественной войне	|	870
	|		|		|	020	|	Выплата единовременной материальной помощи участникам и инвалидам Великой Отечественной войны, а также лицам, приравненным к ним, военнослужащим, в том числе уволенным в запас (отставку), проходившим военную службу в период с 22 июня 1941 года по 3 сентября 1945 года в воинских частях, учреждениях, в военно-учебных заведениях, не входивших в состав действующей армии, награжденным медалью "За победу над Германией в Великой Отечественной войне 1941 - 1945 гг." или медалью "За победу над Японией", проработавшим (прослужившим) не менее шести месяцев в тылу в годы Великой Отечественной войны к 65-летию Победы в Великой Отечественной войне	|	6578
	|	9	|		|		|	Прочие услуги в области социальной помощи и социального обеспечения	|	17668
	|		|	451	|		|	Отдел занятости и социальных программ района (города областного значения)	|	17668
	|		|		|	001	|	Услуги по реализации государственной политики на местном уровне в области обеспечения занятости социальных программ для населения	|	16834
	|		|		|	022	|	Материально-техническое оснащение государственных органов	|	300
	|		|		|	011	|	Оплата услуг по зачислению, выплате и доставке пособий и других социальных выплат	|	534
07	|		|		|		|	Жилищно-коммунальное хозяйство	|	72951
	|	1	|		|		|	Жилищное хозяйство	|	4502
	|		|	123	|		|	Аппарат акима района в городе, города районного значения, поселка, аула (села), аульного (сельского) округа	|	516
	|		|		|	007	|	Организация сохранения государственного жилищного фонда города районного значения, поселка (аула) села, (аульного) сельского округа	|	516
	|		|	458	|		|	Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог района (города областного значения)	|	3986
	|		|		|	002	|	Изъятие, в том числе путем выкупа земельных участков для государственных надобностей и связанное с этим отчуждение недвижимого имущества	|	1050
	|		|		|	004	|	Обеспечение жильем отдельных категорий граждан	|	2712
	|		|		|	005	|	Снос аварийного и ветхого жилья	|	224
	|		|	467	|		|	Отдел строительства района (города областного значения)	|	0
	|		|		|	003	|	Строительство и (или) приобретение жилья государственного коммунального жилищного фонда	|	0
	|	2	|		|		|	Коммунальное хозяйство	|	51416
	|		|	123	|		|	Аппарат акима района в городе, города районного значения, поселка, аула (села), аульного (сельского) округа	|	14973
	|		|		|	014	|	Организация водоснабжения населенных пунктов	|	738
	|		|		|	015	|	Ремонт инженерно-коммуникационной инфраструктуры и благоустройство населенных пунктов в рамках реализации cтратегии региональной занятости и переподготовки кадров	|	14235
	|		|	458	|		|	Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог района (города областного значения)	|	18431
	|		|		|	012	|	Функционирование системы водоснабжения и водоотведения	|	422
	|		|		|	030	|	Ремонт инженерно-коммуникационной инфраструктуры и благоустройство населенных пунктов в рамках реализации стратегии региональной занятости и переподготовки кадров	|	18009
	|		|	467	|		|	Отдел строительства района (города областного значения)	|	18012
	|		|		|	031	|	Развитие инженерно-коммуникационной инфраструктуры и благоустройство населенных пунктов в рамках реализации стратегии региональной занятости и переподготовки кадров	|	18012
	|	3	|		|		|	Благоустройство населенных пунктов	|	17033
	|		|	123	|		|	Аппарат акима района в городе, города районного значения, поселка, аула (села), аульного (сельского) округа	|	17033
	|		|		|	008	|	Освещение улиц населенных пунктов	|	4272
	|		|		|	009	|	Обеспечение санитарии населенных пунктов	|	6444
	|		|		|	010	|	Содержание мест захоронений и погребение безродных	|	442
	|		|		|	011	|	Благоустройство и озеленение населенных пунктов	|	5875
08	|		|		|		|	Культура, спорт, туризм и информационное пространство	|	135927
	|	1	|		|		|	Деятельность в области культуры	|	82527
	|		|	123	|		|	Аппарат акима района в городе, города районного значения, поселка, аула (села), аульного (сельского) округа	|	28050
	|		|		|	006	|	Поддержка культурно-досуговой работы на местном уровне	|	28050
	|		|	455	|		|	Отдел культуры и развития языков района (города областного значения)	|	54477
	|		|		|	003	|	Поддержка культурно-досуговой работы	|	54477
	|	2	|		|		|	Спорт	|	4963
	|		|	465	|		|	Отдел физической культуры и спорта района (города областного значения)	|	4963
	|		|		|	006	|	Проведение спортивных соревнований на районном (города областного значения) уровне	|	4963
	|	3	|		|		|	Информационное пространство	|	32478
	|		|	455	|		|	Отдел культуры и развития языков района (города областного значения)	|	27082
	|		|		|	006	|	Функционирование районных (городских) библиотек	|	26809
	|		|		|	007	|	Развитие государственного языка и других языков народов Казахстана	|	273
	|		|	456	|		|	Отдел внутренней политики района (города областного значения)	|	5396
	|		|		|	002	|	Услуги по проведению государственной информационной политики через газеты и журналы	|	4871
